versão=1.0 cod|desc|dt_ini|dt_fin - Tabela de Código do Serviço
101|Análise e desenvolvimento de sistemas|01012011|
102|Programação|01012011|
103|Processamento de dados e congêneres|01012011|
104|Elaboração de programas de computadores, inclusive de jogos eletrônicos|01012011|
105|Licenciamento ou cessão de direito de uso de programas de computação|01012011|
106|Assessoria e consultoria em informática|01012011|
107|Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados|01012011|
108|Planejamento, confecção, manutenção e atualização de páginas eletrônicas|01012011|
1001|Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada|01012011|
1002|Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer|01012011|
1003|Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária|01012011|
1004|Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring)|01012011|
1005|Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios|01012011|
1006|Agenciamento marítimo|01012011|
1007|Agenciamento de notícias|01012011|
1008|Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios|01012011|
1009|Representação de qualquer natureza, inclusive comercial|01012011|
1010|Distribuição de bens de terceiros|01012011|
1101|Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações|01012011|
1102|Vigilância, segurança ou monitoramento de bens e pessoas|01012011|
1103|Escolta, inclusive de veículos e cargas|01012011|
1104|Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie|01012011|
1201|Espetáculos teatrais|01012011|
1202|Exibições cinematográficas|01012011|
1203|Espetáculos circenses|01012011|
1204|Programas de auditório|01012011|
1205|Parques de diversões, centros de lazer e congêneres|01012011|
1206|Boates, taxi-dancing e congêneres|01012011|
1207|Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres|01012011|
1208|Feiras, exposições, congressos e congêneres|01012011|
1209|Bilhares, boliches e diversões eletrônicas ou não|01012011|
1210|Corridas e competições de animais|01012011|
1211|Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador|01012011|
